image_path,filename,category,crop,disease,treatment,is_healthy
kaggle_images/Pepper__bell___Bacterial_spot_0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG,Pepper__bell___Bacterial_spot_0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG,Pepper__bell___Bacterial_spot_006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG,Pepper__bell___Bacterial_spot_00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG,Pepper__bell___Bacterial_spot_01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG,Pepper__bell___Bacterial_spot_0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG,Pepper__bell___Bacterial_spot_018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG,Pepper__bell___Bacterial_spot_01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG,Pepper__bell___Bacterial_spot_01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,Pepper__bell___Bacterial_spot_01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG,Pepper__bell___Bacterial_spot_024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot 8971.JPG,Pepper__bell___Bacterial_spot_02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot 8971.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889.JPG,Pepper__bell___Bacterial_spot_032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG,Pepper__bell___Bacterial_spot_03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG,Pepper__bell___Bacterial_spot_0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG,Pepper__bell___Bacterial_spot_0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_04d46cfb-9cc8-4083-82af-ca2bb57c8182___NREC_B.Spot 1814.JPG,Pepper__bell___Bacterial_spot_04d46cfb-9cc8-4083-82af-ca2bb57c8182___NREC_B.Spot 1814.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327.JPG,Pepper__bell___Bacterial_spot_05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183.JPG,Pepper__bell___Bacterial_spot_0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot 9105.JPG,Pepper__bell___Bacterial_spot_055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot 9105.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0576dd21-3958-46a5-ab99-f9865371bd1a___NREC_B.Spot 1957.JPG,Pepper__bell___Bacterial_spot_0576dd21-3958-46a5-ab99-f9865371bd1a___NREC_B.Spot 1957.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_05af15b5-fbda-4dab-a4ba-c783d531d24d___JR_B.Spot 3150.JPG,Pepper__bell___Bacterial_spot_05af15b5-fbda-4dab-a4ba-c783d531d24d___JR_B.Spot 3150.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B.Spot 9048.JPG,Pepper__bell___Bacterial_spot_05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B.Spot 9048.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0694ee73-2dbc-4583-9d2d-2b053ef0475b___NREC_B.Spot 1798.JPG,Pepper__bell___Bacterial_spot_0694ee73-2dbc-4583-9d2d-2b053ef0475b___NREC_B.Spot 1798.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_06d752a4-d4a5-439e-b374-231a2cc64032___NREC_B.Spot 1868.JPG,Pepper__bell___Bacterial_spot_06d752a4-d4a5-439e-b374-231a2cc64032___NREC_B.Spot 1868.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot 9068.JPG,Pepper__bell___Bacterial_spot_0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot 9068.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0719e8e8-c1ae-4d5a-b29c-dbadc36d13f3___NREC_B.Spot 1947.JPG,Pepper__bell___Bacterial_spot_0719e8e8-c1ae-4d5a-b29c-dbadc36d13f3___NREC_B.Spot 1947.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0726c166-3471-41a8-8fe6-18600e89e802___NREC_B.Spot 1812.JPG,Pepper__bell___Bacterial_spot_0726c166-3471-41a8-8fe6-18600e89e802___NREC_B.Spot 1812.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
